epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,2278.08,1.51454,1.63851,1.21682,0.641,0.55538,0.56984,0.23906,2.26801,2.89572,1.59702,0.000523586,0.000523586,0.000523586
98,2297.93,1.53074,1.64786,1.21882,0.65276,0.56436,0.57891,0.24272,2.16819,2.77748,1.57466,0.000514154,0.000514154,0.000514154
99,2319.72,1.54145,1.66003,1.21155,0.70859,0.51815,0.57368,0.2392,2.21252,2.78323,1.60309,0.000504723,0.000504723,0.000504723
100,2347.29,1.5399,1.62023,1.19776,0.644,0.4976,0.53774,0.23049,2.29466,2.92768,1.59066,0.000495291,0.000495291,0.000495291
101,2369.59,1.5383,1.62053,1.2148,0.6747,0.50764,0.53687,0.23519,2.26793,2.85434,1.60238,0.00048586,0.00048586,0.00048586
102,2390.17,1.4926,1.56883,1.20924,0.68006,0.50021,0.56152,0.23966,2.20458,2.81213,1.62043,0.000476429,0.000476429,0.000476429
103,2413.59,1.50203,1.5818,1.19354,0.65127,0.54816,0.57756,0.23762,2.26317,2.84678,1.63154,0.000466997,0.000466997,0.000466997
104,2438.28,1.51642,1.58497,1.19217,0.59887,0.5206,0.54992,0.23551,2.26039,2.94221,1.6191,0.000457566,0.000457566,0.000457566
105,2458.91,1.50007,1.55808,1.19075,0.60906,0.5263,0.53727,0.2337,2.24455,2.8541,1.60295,0.000448134,0.000448134,0.000448134
106,2482.08,1.50985,1.58553,1.21036,0.64902,0.51972,0.54529,0.22143,2.26388,2.84414,1.6499,0.000438703,0.000438703,0.000438703
107,2502.92,1.51063,1.57868,1.19871,0.71179,0.5341,0.58346,0.24011,2.21283,2.85276,1.59433,0.000429272,0.000429272,0.000429272
108,2530.25,1.51037,1.55482,1.18458,0.69749,0.50507,0.56264,0.23182,2.29288,2.8039,1.64362,0.00041984,0.00041984,0.00041984
109,2553.41,1.49077,1.55661,1.18926,0.68756,0.52165,0.57596,0.24547,2.1933,2.65357,1.56264,0.000410409,0.000410409,0.000410409
110,2577.32,1.48546,1.55009,1.19706,0.69944,0.50205,0.56643,0.23977,2.24916,2.98024,1.58138,0.000400977,0.000400977,0.000400977
111,2597.87,1.48161,1.56024,1.19183,0.62308,0.54831,0.57103,0.23651,2.24234,2.84137,1.60675,0.000391546,0.000391546,0.000391546
112,2618.78,1.48884,1.51238,1.17621,0.6416,0.56593,0.58322,0.23117,2.26184,2.83344,1.63282,0.000382115,0.000382115,0.000382115
113,2641.3,1.47933,1.52836,1.17523,0.65215,0.53686,0.55717,0.23303,2.28925,2.83747,1.63051,0.000372683,0.000372683,0.000372683
114,2661.35,1.44331,1.49362,1.19492,0.7035,0.53274,0.56166,0.23987,2.27053,2.83381,1.61775,0.000363252,0.000363252,0.000363252
115,2687.81,1.47643,1.50025,1.18624,0.75755,0.51254,0.58272,0.24812,2.21985,2.86679,1.60093,0.00035382,0.00035382,0.00035382
116,2708.38,1.46272,1.48673,1.18026,0.66908,0.52447,0.57127,0.24133,2.2542,2.89328,1.61319,0.000344389,0.000344389,0.000344389
117,2729.87,1.4509,1.47858,1.16938,0.71811,0.54984,0.60609,0.24268,2.22748,2.85018,1.62795,0.000334958,0.000334958,0.000334958
118,2751.51,1.4487,1.48578,1.19174,0.67156,0.55626,0.581,0.24035,2.26541,2.92278,1.63399,0.000325526,0.000325526,0.000325526
119,2770.14,1.45491,1.47278,1.18765,0.76746,0.50399,0.57506,0.24294,2.20222,2.78987,1.57824,0.000316095,0.000316095,0.000316095
120,2794.76,1.44779,1.49703,1.19121,0.66831,0.52991,0.58996,0.24783,2.2188,2.86913,1.60531,0.000306663,0.000306663,0.000306663
121,2824.18,1.45908,1.46419,1.17319,0.70008,0.53733,0.58062,0.25025,2.20912,2.83145,1.60925,0.000297232,0.000297232,0.000297232
